,text
0,"Деньги в кармане 
Жена на диване
Сын на борьбе 
Житуха по кайфу)"
1,"А все вижу, извиняюсь за наезды, братва, всем лёгкого дыма и крепкой мужской дружбы😈🤘))))"
2,Вы какие-то отбитые тут все 👌😃🇺🇦🐷😜✡️🐖💨))))00))0)
3,"Классная группа ☺️☺️😛подписался с женой теперь двигаем на кайфе 💭🤙 ❤️раньше она изменяла но сейчас мы курим вместе 😎
Заебись паблик админу салам алейкум 🤝остальным чисто ебать давайте работайте братья 💪💭💪"
4,"Дааааа ☺️☺️☺️
Братья, я такой калик вчера со  своей девушкой-проституткой забил, что мы улетели на небеса 🤪🤩👌❤️😍😍👌👌😤😤😊😊😊
Мой лучший друг увёл мою бывшую и кинул меня на деньги 🤭😝🤪
Но вчера мы хорошо подули все вместе в калике 👍👍👍👍 #каликрулит"
5,отдуши мужики такую группу  чумовую забабахали)))) 😆😆😆😆
6,"Варпыхер 40000⚔️⚙️
Жесткий мужик) Воин ордена Адептус Кумарис👊🏼🪖🌌 Это не просто бородач, это продукт генной кальянной инженерии🧠🧔🏻‍♀️🙈 У него 2 сердца и 5 легких, чтоб курить как можно больше дымка😨💨 Он вооружен Жмыхтером, настоящим шедевром оружейной индустрии) За Императора он воюет с демонами измерения коварного Вейпа и другими уродами💥🤬😈

Жесть) Не все поймут🤣 Вот на кого стоит равняться🙏🔥А то сейчас у всех только клубы на уме…"
7,"Во дают😃

Знаю эту вселенную, Варпыхер 40000😎 Там ещё война идёт, против гоблинов🤢, они раньше эльфами были, но потом попробовали зелёную жижу для вейперов😱, и начали нападать на Пыхмператора, ведь у него монополия была на перегретое двойное яблоко🍏🍎, да ещё еретики есть, тебе вместо кальяна перешли на вейпы, предатели👿

Вот такая дымная вселенная получилась😃 От перегретого альфача на фольге и не такое придумаешь, жесть😎🤙👊"
8,"Комменты настаиваются, загляни попозже"
9,"И смех 🤣🤣🤣 и грех 😤😤😤 Пыхператор Человечества 🤴 со своим сынком-оторвой 👹поругался, какой табачок накинуть, 🍏 🍎 и получил мундштуком 🗡 под ребро вот тебе и аля-улю 🤕🤕🤕. И решил сынок 👹 свалить втихаря 🦝 и батьку кинуть на произвол 🤬, а врачи потом 🚑 по частям батьку собирали и решили его подключить к огромному ✨✨✨ Золотому Калику ✨✨✨, который он теперь кумарит без остановки, как ИВЛ, только гораздо более крутая тема 💭💭💀💭💭. А мораль сей басни такова ☝ - не ругайтесь с батями👨‍🦰, уважайте друг друга и кумарьте в кайф! 🤙🤙🤙"
